objectid,ctyua14cd,ctyua14nm,ctyua14nmw,st_areashape,st_lengthshape
142,E10000021,Northamptonshire, ,2366990153.02217,380407.674048932
143,E10000023,North Yorkshire, ,8040315828.83659,873555.243090722
144,E10000024,Nottinghamshire, ,2084711105.48413,387062.04407955
145,E10000025,Oxfordshire, ,2605947789.54,413240.389729587
146,E10000027,Somerset, ,3452043771.30758,527165.108885017
147,E10000028,Staffordshire, ,2623314401.085,502096.492485904
148,E10000029,Suffolk, ,3801929342.35114,753638.467190876
149,E10000030,Surrey, ,1670072917.44,273588.167680116
150,E10000031,Warwickshire, ,1977522661.7325,397569.971647686
151,E10000032,West Sussex, ,1990499804.04395,479781.454211395
152,E10000034,Worcestershire, ,1740514175.60855,372990.078140775
153,W06000001,Isle of Anglesey,Ynys Mon,714456328.32699,361473.944696101
154,W06000002,Gwynedd,Gwynedd,2548092530.35306,582468.155740794
155,W06000003,Conwy,Conwy,1130191384.8593,273510.835802587
156,W06000004,Denbighshire,Sir Ddinbych,838544295.151225,228401.075622253
157,W06000005,Flintshire,Sir y Fflint,437490007.10488,197536.868708136
158,W06000006,Wrexham,Wrecsam,503773493.75,190056.670566296
159,W06000008,Ceredigion,Ceredigion,1789015527.12104,373651.997391803
160,W06000009,Pembrokeshire,Sir Benfro,1618688967.47555,722851.498557549
161,W06000010,Carmarthenshire,Sir Gaerfyrddin,2371151479.31852,564458.320127692
162,W06000011,Swansea,Abertawe,379710154.26006,251350.376298641
163,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,442335429.8875,172778.673068933
164,W06000013,Bridgend,Pen-y-bont ar Ogwr,250730337.29232,90598.0530966255
165,W06000014,Vale of Glamorgan,Bro Morgannwg,331192726.50444,106758.241391107
166,W06000015,Cardiff,Caerdydd,142287242.831025,79678.4504385858
167,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,424150423.2175,130240.638011991
168,W06000018,Caerphilly,Caerffili,277387821.46,116205.60266096
169,W06000019,Blaenau Gwent,Blaenau Gwent,108728046.96,65601.6400437716
170,W06000020,Torfaen,Torfaen,126239926.5875,82544.7832831397
171,W06000021,Monmouthshire,Sir Fynwy,850271718.53236,223992.959848979
172,W06000022,Newport,Casnewydd,190524793.742,153277.208438617
